Flow_Time*,Flow
15627,1.008723695
15628,1.011471181
15629,0.990263896
15630,1.005847768
15631,0.991972459
15632,1.007677733
15633,0.987561197
15634,1.002077482
15635,0.987510919
15636,1.012652652
15637,0.992748883
15638,1.02222704
15639,1.017348595
15640,1.026603921
15641,1.025149923
15642,1.013891487
15643,1.000029728
15644,1.00702141
15645,0.996549483
15646,1.018310511
15647,0.996908528
15648,1.006996063
15649,0.992248735
15650,0.996742425
15651,0.978200143
15652,0.996171577
15653,0.994072214
15654,1.024469556
15655,1.017859268
15656,1.049375904
15657,1.011311907
15658,1.027771523
15659,1.002307621
15660,1.006873038
15661,1.015355037
15662,1.013316873
15663,0.994493336
15664,1.003974044
15665,0.987894479
15666,1.011940772
15667,1.010462051
15668,1.028736727
15669,1.020002989
15670,1.032366481
15671,1.017815029
15672,1.015877146
15673,1.016949365
15674,1.000137022
15675,1.012966752
15676,1.025768177
15677,0.994646325
15678,1.021185482
15679,1.006950651
15680,1.007108026
15681,0.99443411
15682,1.019170381
15683,1.008809543
15684,1.013976075
15685,0.991486915
15686,1.002975621
15687,1.015819645
15688,1.013444687
15689,1.004505003
15690,1.030944275
15691,1.002573981
15692,1.038001054
15693,1.016929977
15694,1.018012516
15695,1.01505555
15696,1.017286615
15697,1.006142899
15698,1.036959034
15699,0.997812975
15700,1.021386452
15701,1.002388194
15702,1.021462516
15703,1.004856658
15704,1.026545748
15705,1.015516661
15706,1.021101858
15707,1.007204165
15708,1.009393381
15709,1.014538574
15710,1.02387907
15711,1.003677561
15712,1.027497654
15713,1.022259147
15714,1.032847348
15715,1.02894013
15716,1.004799346
15717,1.018845395
15718,1.033242482
15719,1.009016805
15720,1.005272234
15721,0.977075783
15722,1.010659354
15723,1.045997691
15724,1.032515247
15725,1.009162628
15726,1.025017498
15727,1.021789718
15728,1.02956683
15729,1.017023692
15730,1.012153057
15731,1.004510783
15732,1.024649405
15733,1.029845118
15734,1.054195472
15735,1.018315371
15736,1.027762722
15737,1.027021755
15738,1.021629352
15739,0.99815062
15740,1.022376707
15741,0.988432472
15742,1.001933699
15743,1.006682487
15744,1.019818269
15745,0.987747116
15746,1.007830045
15747,0.987939713
15748,1.009173235
15749,0.998170855
15750,1.001678129
15751,0.991930442
15752,1.003267496
15753,0.982505361
15754,0.991218738
15755,0.989577019
15756,0.990763578
15757,0.968525678
15758,0.990246023
15759,0.990587764
15760,1.004016038
15761,0.976068598
15762,0.986868426
15763,0.978874804
15764,0.98031099
15765,0.992572363
15766,1.009412482
15767,0.992567746
15768,0.996967531
15769,0.994988017
15770,1.001969772
15771,0.990604627
15772,1.02052284
15773,1.006492537
15774,1.009369505
15775,1.003681233
15776,1.011236815
15777,0.991653319
15778,1.005069663
15779,0.992861293
15780,1.024908629
15781,1.005482256
15782,1.011756295
15783,1.00689046
15784,1.005633906
15785,0.973141813
15786,0.993829383
15787,0.9840324
15788,0.995992804
15789,1.011530322
15790,1.029304141
15791,0.997864825
15792,1.013868468
15793,1.004230263
15794,1.012148789
15795,1.003337215
15796,1.005692366
15797,1.011405654
15798,0.996841769
15799,0.997631539
15800,1.009022637
15801,1.005664979
15802,0.991920194
15803,0.990132162
15804,0.995216457
15805,1.000058893
15806,1.0148635
15807,1.006308459
15808,1.000800566
15809,1.020992733
15810,1.026193008
15811,1.015891656
15812,1.031601129
15813,1.017115807
15814,1.017360991
15815,1.012780833
15816,1.028831529
15817,1.010123465
15818,1.019583808
15819,1.00814116
15820,1.032699598
15821,1.014727284
15822,1.026015358
15823,1.034468709
15824,1.038648956
15825,1.026021389
15826,1.041460445
15827,1.015743882
15828,1.024308348
15829,1.016600497
15830,1.01666347
15831,1.005701847
15832,1.024526401
15833,0.995061746
15834,1.02230214
15835,0.996348346
15836,1.000720248
15837,0.985904734
15838,0.993278306
15839,0.976126152
15840,0.989150369
15841,0.973595235
15842,0.97425812
15843,0.983834771
15844,0.995528089
15845,0.993212033
15846,1.003827618
15847,0.980644403
15848,0.988573932
15849,0.987059158
15850,1.005262761
15851,0.990130631
15852,1.011815469
15853,0.979512422
15854,0.989773901
15855,0.990143905
15856,0.998617268
15857,1.004579624
15858,1.021551633
15859,0.995094747
15860,0.992477971
15861,0.989763698
15862,1.000699909
15863,0.990568857
15864,1.006320588
15865,0.997152867
15866,1.022163921
15867,1.006307404
15868,1.018659472
15869,1.013875427
15870,1.01974624
15871,0.988009859
15872,1.012438556
15873,0.998386744
15874,0.999870913
15875,0.989282861
15876,1.012928815
15877,0.999193003
15878,1.000842295
15879,0.988467579
15880,1.003756257
15881,0.997176168
15882,0.993983197
15883,1.004170922
15884,1.012405995
15885,0.988066797
15886,1.006107579
15887,0.992760687
15888,0.990797317
15889,0.981979825
15890,1.01032542
15891,0.989767269
15892,1.003866451
15893,0.985311344
15894,0.999623158
15895,0.996134887
15896,1.011736038
15897,0.990902639
15898,1.010221243
15899,0.998715428
15900,1.004676857
15901,0.996785368
15902,0.986387864
15903,0.977617482
15904,1.009403992
15905,0.981119884
15906,1.004363674
15907,0.995019466
15908,1.000648285
15909,1.000480933
15910,1.013563438
15911,0.991630787
15912,1.007731143
15913,0.99764035
15914,1.001118837
15915,1.002024147
15916,1.015886282
15917,1.001118837
